Date of Sale (dd/mm/yyyy),Address,Postal Code,County,Price (€),Not Full Market Price,VAT Exclusive,Description of Property,Property Size Description
"01/01/2016","34 MOUNT PLEASANT TERRACE, RANELAGH, DUBLIN 6","Dublin 15","Dublin","€170,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"01/01/2016","APT 38, PARKVIEW HALL, DUBLIN RD RHEBOGUE","","Limerick","€75,750.00","No","No","Second-Hand Dwelling house /Apartment",""
"02/01/2016","36 Cove Street, Cork City","","Cork","€250,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/01/2016","1 CILL BAN, COLLINS LANE, TULLAMORE","","Offaly","€173,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/01/2016","10 OLD PARK COURT, MONAGHAN, MONAGHAN","","Monaghan","€225,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/01/2016","12 Ard na Deirge, Killaloe","","Clare","€199,950.00","No","Yes","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"04/01/2016","13 Drury Mills, Saggart","","Dublin","€230,088.00","No","Yes","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"04/01/2016","134 BLUEBELL WOODS, ORANMORE, GALWAY","","Galway","€315,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/01/2016","14 ABBEY COURT, KILCOURSEY, CLARA","","Offaly","€92,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/01/2016","14 ALLEN VIEW HEIGHTS, NEWBRIDGE, KILDARE","","Kildare","€198,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/01/2016","14 Ard na Deirge, Killaloe","","Clare","€199,950.00","No","Yes","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"04/01/2016","14 ARDFIELD COURT, ARDFIELD, GRANGE","","Cork","€193,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/01/2016","14 YEWLANDS, MARYBOROUGH WOODS, DOUGLAS","","Cork","€280,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/01/2016","167 CURRAGH WOODS, FRANKFIELD, DOUGLAS","","Cork","€255,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/01/2016","19 Drury Mills, Saggart","","Dublin","€321,586.00","No","Yes","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"04/01/2016","2 BRIGHTON SQ, BRIGHTON RD, FOXROCK DUBLIN 18","Dublin 18","Dublin","€1,150,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/01/2016","2 Golden Meadows Retirement Village, The Burgery, Dungarvan","","Waterford","€90,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/01/2016","2 MOYOLA MEWS, LOWER CHURCHTOWN ROAD, DUBLIN 14","","Dublin","€330,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/01/2016","20 PROSPECT LAWN, WESTFALIA DR, BALLINCOLLIG","","Cork","€415,500.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/01/2016","21 The Drive, Harbour Heights  Rochestown Road, Passage West","","Cork","€180,000.00","No","Yes","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"04/01/2016","22 BRACKEN CRESCENT, NORTH CIRCULAR ROAD, LIMERICK","","Limerick","€185,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/01/2016","24 WOODSTOWN MEADOW, KNOCKLYON, DUBLIN 16","Dublin 16","Dublin","€430,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/01/2016","27 Moyglare Village, Maynooth, Co. Kildare","","Kildare","€245,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/01/2016","28 BELTON PARK GARDENS, DONNYCARNEY, DUBLIN","Dublin 9","Dublin","€225,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/01/2016","28 GLENBURREN PARK, TUAM RD, GALWAY","","Galway","€190,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/01/2016","3 OHARES MILLS, NICHOLAS ST, DUNDALK","","Louth","€65,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/01/2016","3 PALM GROVE, NEWCASTLE WEST, LIMERICK","","Limerick","€134,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/01/2016","307 HAMPTON LODGE, BLOCK B, GRACE PARK RD","Dublin 9","Dublin","€315,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/01/2016","32 LATCHFORD SQ, CLONEE, DUBLIN 15","Dublin 15","Dublin","€230,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/01/2016","40 WATERSIDE APARTMENTS, ROSBERCAN, NEW ROSS","","Wexford","€26,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/01/2016","48A BEAUFIELD PARK, STILLORGAN, DUBLIN 18","","Dublin","€345,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/01/2016","5 MOUNT ARGUS TERRACE, HAROLDS CROSS, DUBLIN 6","","Dublin","€375,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/01/2016","50 VERDEMONT, SNUGBOROUGH RD, BLANCHARDSTOWN DUBLIN 15","Dublin 15","Dublin","€189,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/01/2016","6 EGERTON VILLAS, ST LUKES, CORK","","Cork","€440,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/01/2016","63 Cluain Dubh, Fr. Russell Road","","Limerick","€113,500.00","No","Yes","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"04/01/2016","72 CURRAGH FINN, KILDARE, KILDARE","","Kildare","€180,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/01/2016","8 GLENGROVE, KILMALLOCK, LIMERICK","","Limerick","€130,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/01/2016","8 KENLIS PLACE, KELLS, MEATH","","Meath","€28,500.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/01/2016","9 ABHAINN RI, KILMANAGH, CO KILKENNY","","Kilkenny","€91,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/01/2016","APT.29 - BLOCK F, ACADEMY SQ, NAVAN","","Meath","€120,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/01/2016","ASHLYNS, CORELISH WEST, PALLAS GREEN","","Limerick","€247,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/01/2016","Ballyfa, New Inn, Ballinasloe","","Galway","€145,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/01/2016","CADER IDRIS, O'CONNELL AVENUE, LIMERICK","","Limerick","€115,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/01/2016","CLONRIBBON, KILBRIN, KANTURK","","Cork","€40,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/01/2016","COUNTESS RD, KILLARNEY, KERRY","","Kerry","€590,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/01/2016","DRUMUCKLAGH, RAPHOE, LIFFORD","","Donegal","€46,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/01/2016","FARRANPHLURE, RATHBAWN, TULLOW","","Carlow","€260,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/01/2016","GILTSPUR MEWS, GILTSPUR LANE, SOUTHERN CROSS RD","","Wicklow","€255,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/01/2016","GLENTEIGE, EDERMINE, ENNISCORTHY","","Wexford","€200,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/01/2016","KILSARAN, CASTLEBELLINGHAM, COUNTY LOUTH","","Louth","€145,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/01/2016","LETTERLEAGUE, LETTERKENNY, CO DONEGAL","","Donegal","€85,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/01/2016","LOWER KEADUE, BURTONPORT, CO. DONEGAL","","Donegal","€40,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/01/2016","MARYVILLE, GRANGE, ROSCREA","","Tipperary","€150,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/01/2016","Moneen, Menlough, Ballinasloe","","Galway","€90,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/01/2016","Newgrove House, Ballyvisteale, Glanmire","","Cork","€450,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/01/2016","No. 8 Glencove, Dunmore Road, Waterford","","Waterford","€89,430.89","No","Yes","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"04/01/2016","OLD BARRACKS, BALLYBRITTAS, CO LAOIS","","Laois","€85,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/01/2016","OLD STATION HOUSE, GORTFADDA, MOHILL","","Leitrim","€65,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/01/2016","Rathcoole, Schull, Co Cork","","Cork","€200,000.00","No","Yes","New Dwelling house /Apartment","greater than 125 sq metres"
"04/01/2016","REGAILE, THURLES, TIPPERARY","","Tipperary","€99,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/01/2016","Site No. 3, Annmount, Glounthaune","","Cork","€200,000.00","No","Yes","New Dwelling house /Apartment","greater than 125 sq metres"
"04/01/2016","ST MARTINS, SKAGH, CROOM","","Limerick","€150,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/01/2016","The Pampas, Emoclew Road, Arklow","","Wicklow","€210,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"05/01/2016","1 GRIANAN PARK, BUNCRANA, DONEGAL","","Donegal","€150,000.00","No","No","Second-Hand Dwelling house /Apartment",""
