mth,county,count,avg,min,max,median
2010-01-01 00:00:00+00,Kildare,51,276422.45,65000.00,640000.00,260000.00
2010-02-01 00:00:00+00,Kildare,70,275311.99,20000.00,2325000.00,225400.00
2010-03-01 00:00:00+00,Kildare,84,251412.09,20000.00,695000.00,240000.00
2010-04-01 00:00:00+01,Kildare,97,227066.92,35770.93,760000.00,229074.88
2010-05-01 00:00:00+01,Kildare,77,232166.13,75000.00,643000.00,215000.00
2010-06-01 00:00:00+01,Kildare,85,252734.19,49187.50,945000.00,222919.00
2010-07-01 00:00:00+01,Kildare,124,222579.65,10000.00,570000.00,209000.00
2010-08-01 00:00:00+01,Kildare,83,236864.54,64464.00,748898.00,225000.00
2010-09-01 00:00:00+01,Kildare,97,227036.85,50000.00,655000.00,218000.00
2010-10-01 00:00:00+01,Kildare,99,259540.25,70000.00,654627.00,243171.80
2010-11-01 00:00:00+00,Kildare,86,222245.29,17500.00,678413.50,209000.00
2010-12-01 00:00:00+00,Kildare,89,226066.98,13750.00,700000.00,213500.00
2011-01-01 00:00:00+00,Kildare,39,357177.57,88105.00,3250000.00,210000.00
2011-02-01 00:00:00+00,Kildare,46,251319.85,26184.28,1010000.00,225000.00
2011-03-01 00:00:00+00,Kildare,59,177000.37,17857.00,415000.00,175000.00
2011-04-01 00:00:00+01,Kildare,60,240169.62,20000.00,950000.00,211250.00
2011-05-01 00:00:00+01,Kildare,46,214806.89,40000.00,595000.00,184500.00
2011-06-01 00:00:00+01,Kildare,54,259242.59,60000.00,845000.00,212300.00
2011-07-01 00:00:00+01,Kildare,69,242180.61,10000.00,1500000.00,230000.00
2011-08-01 00:00:00+01,Kildare,52,224885.52,80000.00,722467.00,203250.00
2011-09-01 00:00:00+01,Kildare,66,207588.17,25500.00,750000.00,185000.00
2011-10-01 00:00:00+01,Kildare,77,204109.60,30000.00,695000.00,180617.00
2011-11-01 00:00:00+00,Kildare,118,208175.06,20000.00,800000.00,220263.00
2011-12-01 00:00:00+00,Kildare,107,207725.21,7500.00,1795000.00,170000.00
2012-01-01 00:00:00+00,Kildare,55,192421.07,17857.00,555000.00,170000.00
2012-02-01 00:00:00+00,Kildare,57,175489.78,30000.00,390000.00,175000.00
2012-03-01 00:00:00+00,Kildare,53,183686.48,40000.00,460000.00,165000.00
2012-04-01 00:00:00+01,Kildare,44,151830.66,26000.00,554626.00,133150.00
2012-05-01 00:00:00+01,Kildare,77,192640.84,34000.00,700000.00,174000.00
2012-06-01 00:00:00+01,Kildare,59,207586.78,43500.00,1300000.00,186000.00
2012-07-01 00:00:00+01,Kildare,81,170724.60,35000.00,730000.00,170000.00
2012-08-01 00:00:00+01,Kildare,89,217518.65,20000.00,775000.00,195000.00
2012-09-01 00:00:00+01,Kildare,85,176695.60,25000.00,405000.00,170000.00
2012-10-01 00:00:00+01,Kildare,103,176760.47,40000.00,437500.00,161000.00
2012-11-01 00:00:00+00,Kildare,143,193313.26,25000.00,1160000.00,160000.00
2012-12-01 00:00:00+00,Kildare,208,225454.56,40000.00,5205926.00,185000.00
2013-01-01 00:00:00+00,Kildare,50,176315.57,30000.00,639600.00,147250.00
2013-02-01 00:00:00+00,Kildare,60,179907.61,20000.00,900000.00,148500.00
2013-03-01 00:00:00+00,Kildare,81,171152.03,47000.00,482150.00,150000.00
2013-04-01 00:00:00+01,Kildare,74,178130.52,10000.00,600000.00,165500.00
2013-05-01 00:00:00+01,Kildare,93,205156.45,30000.00,535000.00,187000.00
2013-06-01 00:00:00+01,Kildare,89,194198.24,20000.00,660000.00,185000.00
2013-07-01 00:00:00+01,Kildare,118,224791.81,6500.00,2650000.00,180000.00
2013-08-01 00:00:00+01,Kildare,121,190498.04,17190.00,800000.00,160000.00
2013-09-01 00:00:00+01,Kildare,127,178182.74,20000.00,535000.00,165000.00
2013-10-01 00:00:00+01,Kildare,136,205278.32,30000.00,620000.00,187500.00
2013-11-01 00:00:00+00,Kildare,131,208360.13,30000.00,1500000.00,182000.00
2013-12-01 00:00:00+00,Kildare,231,219157.03,45000.00,4875000.00,167500.00
2014-01-01 00:00:00+00,Kildare,65,209872.92,40000.00,1141000.00,157000.00
2014-02-01 00:00:00+00,Kildare,88,202871.07,18000.00,630000.00,180000.00
2014-03-01 00:00:00+00,Kildare,124,171731.93,15000.00,800000.00,149750.00
2014-04-01 00:00:00+01,Kildare,109,234454.05,14375.00,850000.00,223000.00
2014-05-01 00:00:00+01,Kildare,133,240391.75,35000.00,2867100.00,200000.00
2014-06-01 00:00:00+01,Kildare,126,221158.22,33966.00,1420000.00,195000.00
2014-07-01 00:00:00+01,Kildare,72,215126.18,35000.00,691630.00,200000.00
